3620742_8f242754bc,13,13
3620738_4a7906cd89,35,35
3620744_3d85d347f7,9,9
3621316_e1b1044a3d,121,121
3621438_8295002f52,217,217
3620105_3cbf6178bd,207,207
3620127_df22f6e0c5,250,250
3618717_98e24636a6,36,36
3618813_ed0162b9bb,31,31
3618809_826e0e6a90,31,31
3618806_56b8c61aae,31,31
3618814_148835b1a6,31,31
3618820_da2a8a6ebb,31,31
3619076_22bfd43512,593,593
3619268_fd4c7a2405,58,58
3619392_407bffa4dd,477,477
3619393_d7dc6b9eec,467,467
3619406_9cb988b67a,15,15
3619450_e6bad39ae6,20,20
3619589_188c44d3a0,181,181
3619827_3bba77e0ec,33,33
3617671_77ed4f4095,3,3
3618372_82d53ceb0c,45,45
3618625_b8566dceab,33,33
3618626_4c3015fc24,63,63
3618694_7e96b04e59,26,26
3616942_51083b9a13,156,156
3616974_8500c3b889,28,28
3616976_492ae047d4,20,20
3616982_f06d53f807,34,34
3617046_7f98f22921,11,11
3617052_e8ff1f88cf,13,13
3616850_5620e986f3,32,32
3616888_9a77870278,36,36
3616898_7c8a37b283,102,102
3616903_f71343d584,106,106
3616908_a25659f458,65,65
3616910_a88862df59,87,87
3616912_ce1483cfa8,87,87
3616917_9159b3a47d,312,312
3616920_2318a44f69,94,94
3616925_19cedaf60e,74,74
3616928_2cf0a1d863,140,140
3616426_f7f7f342ec,59,59
3616599_c4da422000,54,54
3616616_d8555e6455,343,343
3616643_e2f11ebdf0,269,269
3616642_58b2600014,361,361
3616641_6e0e69bc4f,68,68
3616634_2372c9a53b,284,284
3616676_70bea9f21a,25,25
3615159_82a4282e9d,46,46
3615241_b72a9c4708,49,49
3615246_4cc6336061,34,34
3615357_a5644ab32b,38,38
3615360_c126f36ba9,46,46
3615527_6bd5357daa,381,381
3615620_bb3d49798d,16,16
3615642_bf6e471afa,14,14
3615704_f8af50f292,15,15
3615703_4ce988d759,655,655
3615724_897e2a23f5,6,6
3615726_41bd390bf4,117,117
3616085_e88b64e600,63,63
3616216_c0e2809232,23,23
3616485_7f379dd2da,72,72
3616487_0cbeb07927,55,55
3614266_2afbb245bc,101,101
3614455_c947931166,46,46
3614471_2c2cda7268,66,66
3614476_4978f89691,46,46
3614477_b84327ee0f,65,65
3614482_7051e01058,1847,1847
3614500_a79d179cee,58,58
3614501_632810161f,59,59
3614510_02aa9a9666,10,10
3614503_950a318539,76,76
3614513_74ba9760d0,70,70
3614538_80ccbdd77a,88,88
3614539_a6e17e29c3,96,96
3614542_5e56e5797d,41,41
3614547_0fa472648a,46,46
3614553_56b2df6ccf,67,67
3614560_6e96f745bf,45,45
3614570_6aa6463662,90,90
3614621_d2c9646bd2,66,66
3614663_afd5bfdf2c,76,76
3614666_4fdbda0c27,40,40
3614687_bff846d594,32,32
3614709_184ed618eb,26,26
3614719_65fda6296a,67,67
3614720_2c4ac1970a,41,41
3614722_fa2078c93d,36,36
3614723_afc5a6b01d,22,22
3614724_6c3e47b6e3,46,46
3614725_78a5ec845a,44,44
3614726_c47087c75a,28,28
3614727_708e260f89,24,24
3614751_18d797be3a,26,26
3614759_340b8e0328,27,27
3614800_cb73203c01,33,33
3614798_c2d3f077f0,33,33
3614822_d18e82f350,4,4
3614847_881e906ba5,35,35
3614869_66e1372818,12,12
3614872_25a3577c39,21,21
3614886_5ee4ce3fb9,62,62
3614901_6ad581c7cb,23,23
3614902_a0ac930c00,16,16
3614961_4a0b803fe8,15,15
3614964_733f923e85,63,63
3614965_8ab6743aac,66,66
3614966_0472d65214,60,60
3614967_4de9d703fd,34,34
3614982_b5b512e345,27,27
3615056_a65f6d9f54,26,26
3615061_115e1a4c17,27,27
3615077_c231756a8d,6,6
3615076_767fce8961,8,8
3615075_37566ac6d8,6,6
